game_name,PC,PlayStation,Xbox
The Witcher 3: Wild Hunt,"Score: 92.0, Reviewr: PC Gamer","Score: 100.0, Reviewr: Eurogamer","Score: 93.0, Reviewr: IGN"
Elden Ring,"Score: 90.0, Reviewr: PC Gamer","Score: 100.0, Reviewr: IGN Spain","Score: 90.0, Reviewr: IGN Middle East"
Naruto X Boruto Ultimate Ninja Storm Connections,"Score: 70, Reviewr: SpaceNerd.it","Score: 60, Reviewr: GamingTrend","Score: 69, Reviewr: Bazimag"
The Elder Scrolls V: Skyrim - Special Edition,"Score: 70.0, Reviewr: Areajugones","Score: 80.0, Reviewr: Metro GameCentral","Score: 80.0, Reviewr: USgamer"
Persona 5 Tactica,"Score: 60.0, Reviewr: VideoGamer","Score: 90.0, Reviewr: NookGaming","Score: 70.0, Reviewr: Shacknews"
Assassin's Creed Unity,"Score: 65, Reviewr: PC Gamer","Score: 70, Reviewr: Eurogamer","Score: 78, Reviewr: IGN"
Grand Theft Auto V,"Score: 92.0, Reviewr: PC Gamer","Score: 100.0, Reviewr: GamesRadar+","Score: 90.0, Reviewr: GameSpot"
Devil May Cry 4: Special Edition,"Score: 70, Reviewr: TrustedReviews","Score: 85, Reviewr: Game Informer","Score: 60, Reviewr: GameSpot"
Dark Souls III,"Score: 100.0, Reviewr: Eurogamer","Score: 90.0, Reviewr: Metro GameCentral","Score: 90.0, Reviewr: Easy Allies"
Cyberpunk 2077,"Score: 80.0, Reviewr: Eurogamer","Score: 40.0, Reviewr: USgamer","Score: 55.0, Reviewr: Game Informer"
